"Reference" "Updated" "TotalStatesRef" "TotalStatesUpdt" "TotalTransitionsRef" "TotalTransitionsUpdt" "TotalFeaturesRef" "TotalFeaturesUpdt" "CommonFeatures" "RatioFeatures" "RatioStates" "RatioTransitions" "StatesFFSM" "TransitionsFFSM" "Precision" "Recall" "F.measure" "SPL" "Twise" "Index"
"99" "ffsm_2_kiss.txt" "fsm_ws_8.txt" 10 11 89 88 -1 -1 -1 -1 0.523809523809524 0.564971751412429 11 100 0.927711 0.865169 0.895349 "ws" "all" 3
"100" "ffsm_3_kiss.txt" "fsm_ws_1.txt" 11 5 100 40 -1 -1 -1 -1 0.6875 0.714285714285714 11 100 1 0.4 0.571429 "ws" "all" 4
"101" "ffsm_4_kiss.txt" "fsm_ws_6.txt" 11 11 100 88 -1 -1 -1 -1 0.5 0.531914893617021 11 100 1 0.88 0.93617 "ws" "all" 5
"102" "ffsm_5_kiss.txt" "fsm_ws_5.txt" 11 7 100 56 -1 -1 -1 -1 0.611111111111111 0.641025641025641 11 100 1 0.56 0.717949 "ws" "all" 6
"103" "ffsm_6_kiss.txt" "fsm_ws_4.txt" 11 5 100 40 -1 -1 -1 -1 0.6875 0.714285714285714 11 100 1 0.4 0.571429 "ws" "all" 7
"104" "00001_kiss.txt" "00002_kiss.txt" 8 10 80 110 13 13 7 0.368421052631579 0.611111111111111 0.742105263157895 11 141 0.445455 0.6125 0.51579 "cpterminal" "1wise" 1
"105" "ffsm_1_kiss.txt" "00003_kiss.txt" 11 8 141 80 -1 -1 -1 -1 0.578947368421053 0.638009049773756 11 141 1 0.567376 0.723982 "cpterminal" "1wise" 2
"106" "00001_kiss.txt" "00002_kiss.txt" 10 8 120 72 13 13 7 0.368421052631579 0.611111111111111 0.744791666666667 11 143 0.680556 0.408333 0.510417 "cpterminal" "2wise" 1
"107" "ffsm_1_kiss.txt" "00003_kiss.txt" 11 8 143 80 -1 -1 -1 -1 0.578947368421053 0.677130044843049 11 151 0.9 0.503497 0.64574 "cpterminal" "2wise" 2
"108" "ffsm_2_kiss.txt" "00004_kiss.txt" 11 10 151 130 -1 -1 -1 -1 0.523809523809524 0.569395017793594 11 160 0.960317 0.801324 0.873646 "cpterminal" "2wise" 3
